,evals,X,fX
0,0,"[0.93515324 0.41762835 0.13048604 0.01787909 0.61438133 0.10559028
 0.5903603  0.65805811 0.1205193  0.68768422 0.81633199 0.11151626
 0.0693756  0.78849848 0.17583686 0.23387518 0.17938319 0.54158455
 0.62645481 0.52370275 0.96470333 0.61807066 0.90545247 0.56309083
 0.53785319 0.34279411 0.97353701 0.15783675 0.43813604 0.3490828
 0.17818654 0.95228804 0.18820974 0.92336114 0.86672058 0.84949051
 0.83475494 0.03998962 0.52232391 0.54759904 0.10871515 0.90350827
 0.55019021 0.03212569 0.97197534 0.58143586 0.29593683 0.97517733
 0.18338483 0.01080935 0.7603372  0.65350634 0.41657428 0.9646843
 0.06446767 0.91556772 0.39337657 0.34482205 0.82522055 0.46864574]",[14.02989444]
1,1,"[0.11807583 0.74072997 0.96370431 0.58870399 0.07651413 0.98383982
 0.16030782 0.44289855 0.77268846 0.18555309 0.06846291 0.55625517
 0.53614163 0.09661954 0.5014633  0.93839643 0.96856725 0.25132404
 0.37374741 0.24408554 0.00196045 0.23116468 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.78073423 0.00521334 0.61494845 0.01843078 0.04219121 0.33115122
 0.29177177 0.86343151 0.45218831 0.00835883 0.94834593 0.25195049
 0.30740972 0.56737282 0.23598403 0.31728474 0.74589382 0.46570713
 0.96794692 0.74998073 0.20481775 0.40541856 0.75788584 0.24484457
 0.93519607 0.44904589 0.5695909  0.8647773  0.28267218 0.94549387]",[9.83945927]
2,2,"[0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1.
 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0.
 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1.]",[-5.07525469]
3,3,"[0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0.
 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0.
 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0.]",[-16.84865636]
4,4,"[0. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1.
 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0.
 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1.]",[-17.58880219]
5,5,"[0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.
 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.]",[-15.38028786]
6,6,"[1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0.
 1. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0.]",[-18.01512594]
7,7,"[0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0.
 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0.
 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1.]",[-4.45697235]
8,8,"[1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1.
 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0.
 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0.]",[-24.53132317]
9,9,"[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 0.
 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0.]",[-23.1035113]
10,10,"[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1.
 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0.
 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1.]",[-6.13322163]
