,evals,X,fX
0,0,"[-3.27219636 -3.01616263  5.38816734  4.19194514 11.59307301  0.64230569
 -0.60941282 -4.86306203 -3.2953249   4.17304802 23.8216576   0.44103857
  0.99050745 -0.99627716]",[0.02701988]
1,1,"[ 4.84130788  1.56712089 -3.07677384 -1.23610848 28.52449329  3.40876692
  0.19527392  0.8491521   8.78142503 -9.01653166  7.89550675  6.15089136
 -2.33417358  3.45938557]",[0.13083262]
2,2,"[-2.5421342   0.26681273 -4.25882395 -8.53271425 24.25027752  2.19835572
 -4.48832786 -2.92972006 -3.05599842  4.1417927  16.69934843  4.82516087
  3.31897323  2.57444556]",[-0.]
3,3,"[ 4.72297378 -2.0672248   9.03401915  1.37474704  3.94986886  5.67808719
  1.98838418  0.82677099  9.2750858  -6.5223414  12.51136944  2.28078994
 -0.58346954 -1.88163896]",[-0.]
4,4,"[ 2.86839743e+00  1.43516352e-02 -3.82855086e+00  3.26644902e+00
  2.33788134e+01  5.92486184e+00  1.78634880e+00 -4.57324245e-01
  6.23360116e+00  1.58212428e-01  2.90121213e+01  5.31210933e+00
 -1.33857477e-02 -4.13829746e+00]",[0.3718152]
5,5,"[-4.31432125 -0.33702268  6.96818161 -9.33999827 12.57648274  2.3683719
 -0.38487732  3.55762379 -8.75729038 -9.80119866  2.36695382  0.08892745
  1.23105534  4.30013974]",[-0.]
6,6,"[ 0.22275939 -4.46252935  2.25709339  7.1298898  23.83603775  0.03944578
  0.3598714  -0.16361835  5.68100462 -7.96706765 19.53256042  5.47839049
  0.97714741  2.90679464]",[-0.67223301]
7,7,"[-0.14990005  4.23414401 -7.60152241 -5.06230286 10.67938006  5.74591296
 -4.21604303  0.09288101 -9.29977856  4.86345111 10.48861246  1.7870995
 -3.41318795 -0.05691923]",[-0.]
8,8,"[-1.8026956   2.62335155 -0.7519203   2.6329677   2.92345527  5.45087048
  3.86089015  4.53907926  9.31972069  0.13951573 19.28106921  1.93766636
  4.7450816   4.7508806 ]",[-0.]
9,9,"[ 2.78326594 -0.42196825  6.41566209 -6.09992286 22.80386934  1.89849737
 -2.25226039 -0.36909287 -0.81266564 -6.05124387 15.4856754   3.6880905
 -4.3683524  -4.32460421]",[-0.]
10,10,"[ 2.45126761 -2.00444846  0.15533276  5.93481408 22.07146889  5.67799056
 -3.42377598  4.46444354  5.77857215 -8.15989798 27.03100927  1.92275265
 -4.73045364  2.1009684 ]",[1.03961449]
11,11,"[-1.60465582  4.59300889 -9.99597975 -0.23240851  7.27212441  3.05923121
  3.0235805  -0.85577096 -4.25288495  6.28076198  5.99806794  4.98518397
  3.75010882 -0.70843082]",[0.02853472]
12,12,"[ 2.13350505  1.7167312   7.97638804  8.79998289 14.65378738  5.22358835
 -3.64895869  1.26183351  8.54897943 -4.72285354 13.23025518  1.79852572
  3.66571263  2.59505814]",[0.29220971]
13,13,"[-1.14558045 -2.15571005 -5.34290121 -6.57311092 16.95493088  1.18728383
  0.39813039 -0.08591443 -8.18387149  8.11858698 28.24946303  5.30430667
 -2.15252794 -4.19514282]",[-0.10046922]
14,14,"[-2.92075641  3.08342534 -7.66333861 -8.98032741 23.22199824  4.64057527
  0.76335822 -1.89096884 -4.55989881  6.54137347  4.02363756  2.36099427
  1.1102457   2.59675912]",[-0.01130391]
15,15,"[ 3.92648014 -4.88834786  3.2436246   8.72922376 13.82593451  1.69156101
 -0.66695863  4.74902996  8.26406998 -1.45884556 17.38240763  5.18772556
 -1.48241506 -1.94879594]",[-0.]
16,16,"[-1.816978   -0.03043488 -4.53929196 -4.73574066 17.89599064  1.11748075
 -4.86890716 -4.1980241   7.45637193  0.3039969   7.13160336  5.85073331
 -1.53661141 -1.54528929]",[-0.00655231]
17,17,"[ 0.943184    2.2095214   5.81577407  9.89751708  4.85468715  3.91986852
  1.31086542  3.75086207 -5.43024673 -9.43070562 23.11922737  0.6658925
  3.99302122  1.48665691]",[4.78766025]
18,18,"[ 0.40736982 -2.85690586 -8.90981236 -3.66213239 13.24148532  2.18906332
 -1.16894309  1.7122706   8.45851483  4.28768775 27.53613819  1.96819573
 -4.28288476 -4.6080655 ]",[-1.41175359]
19,19,"[-4.90833679  0.33362499  4.58583814  1.13341923 16.38896688  5.51305994
  1.9742524  -1.26530752 -5.47595173 -5.49913253  8.69301509  4.63071991
  4.01581671  2.0119626 ]",[-0.61299092]
20,20,"[-4.13284915  0.59728525  8.12610588 -8.53207627  5.70016476  5.7148372
 -3.44706374 -0.08791275 -7.33361298  5.33653345 20.40253816  6.00286989
 -3.16721678  2.16796164]",[1.02857245]
21,21,"[ 2.56146346 -0.30556761 -9.69050994  7.16878664 28.47426536  0.08572534
  2.61025624  1.62994906  8.59489321 -4.41483449 11.66319015  1.42268123
  3.14154519 -3.54951574]",[1.28638619]
22,22,"[ 1.57188308 -4.12617062 -3.92905838  4.13586415 27.42892117  3.72319695
  3.50938265  1.20177812  5.74219089  3.48987597 16.79750159  3.860432
  3.32051278 -2.51374953]",[-1.26225005]
23,23,"[-2.40492008  0.87360075  5.70715852 -0.03246575 13.43569152  1.86727667
 -0.12005466 -0.49218708 -4.04392066 -9.67573675  3.31007934  0.2053713
 -2.74133426  1.87717417]",[-0.27553293]
24,24,"[-2.38051932  3.77445729 -5.36142216 -8.75177457  6.3750193   1.58499372
  3.36924504 -1.14925022  1.30335781  0.22915131 23.26715251  5.68624724
 -4.93698116  3.36234922]",[-0.]
25,25,"[ 3.43404113 -2.75376623  9.14788687  6.44361085 16.07335773  4.6634695
 -0.70341097  4.15199785 -3.50845803 -3.26301576 10.09899412  0.86117267
  2.80264995 -1.64135108]",[-0.]
26,26,"[-3.92943932 -4.00526038  1.42518338 -6.22917401  2.37279039  0.34846662
 -1.62717988 -1.00111732 -9.19470473 -7.6829769   4.90675927  2.88188838
  3.55657259  2.76942306]",[0.04559294]
27,27,"[ 1.52258994  4.17427024 -5.64694042  9.23456215 25.88472526  4.6433723
  0.63105052  4.88021775  1.5983365   2.02602125 22.03654457  4.41143039
 -4.2662426  -1.3534054 ]",[-0.]
28,28,"[-4.03874992 -3.02451566  3.00081046  0.80103644 14.66483404  1.16287364
 -2.34651281 -2.52941867  1.32161142  2.06454059  3.06664333  1.59568308
  1.30774776 -3.21469196]",[-0.00511773]
29,29,"[ 0.54032664  3.9377592  -8.93416123 -0.14291176 18.4802563   4.93985635
  0.22422667  3.93558145 -8.10394052 -4.72096022 26.3610856   3.61261631
 -2.24456413  1.08308604]",[-0.]
30,30,"[-1.46521877  3.90264778  3.74875944 -2.29677475 12.50874047  1.92645984
 -2.99067038  3.4865401   0.03112858 -2.25103353 14.54983243  0.75183247
  0.60383592 -3.89858006]",[0.09982703]
31,31,"[ 1.51048366 -0.58485746 -4.5683357   2.8671165  17.93696566  4.05310837
  3.06935545 -3.37930735 -5.42639818  4.44117107 27.59389505  4.48100488
 -3.27150589  3.37485802]",[-0.0087194]
32,32,"[-2.50972188 -0.7855008   0.67806934  5.73272272 15.19867606  4.76849798
  0.97232905  4.23969696  2.51639142  7.00726036 23.56365317  6.12244977
  3.12168351  4.18988981]",[-0.]
33,33,"[ 3.96643810e-02  4.94670028e+00 -9.22285430e+00 -6.77870486e+00
  2.92461335e+01  2.80830183e-02 -8.86349973e-01 -6.93941808e-01
 -5.60169186e+00 -7.44254806e+00  1.32376533e+01  1.50124776e+00
 -4.32830696e+00 -3.60755036e-01]",[0.05489605]
34,34,"[ 3.97289176 -2.46460038 -2.0817896   6.95764214 12.88987868  1.27700359
  3.23885317  0.89897149 -6.78180037  1.7260462  21.72092115  3.90003202
  2.03460997  4.87611171]",[2.76262404]
35,35,"[-3.39840337  4.91245472  6.36306126 -6.24908982 28.00478299  5.0880818
 -3.7398346  -1.03572161  4.32938509 -6.42488833  6.62387711  2.19084894
 -3.65674938 -0.95860993]",[0.58928382]
36,36,"[-3.28485945 -1.10127852  1.74736313  3.41952836  4.02436809  2.25180192
  3.49653812  3.44248659  2.53396034 -3.07639878  5.18216557  4.4756672
  1.85961061 -3.22346044]",[-0.]
37,37,"[ 0.28827404  3.15823313 -2.92683397 -3.86411305 25.07637859  3.67547715
 -4.25276601 -2.42912478 -1.24667274  1.83953442 22.47974766  1.34753067
 -2.51355407  0.80755385]",[0.83892721]
38,38,"[-0.25850413  3.2254282   1.51724871 -3.60873151 23.91926958  4.61394981
  2.14018735 -2.00365122  8.49969889  7.5112104  10.11104756  2.90504386
  0.32369992 -0.04326746]",[1.05813515]
39,39,"[ 0.26497271 -4.00252227 -5.77247338  1.07508876 10.73138575  0.15077309
 -3.57688059  0.30518341 -2.96480669 -3.31543832 21.30012831  3.73282236
 -1.26497585  1.70189645]",[-0.]
40,40,"[-4.9455813   1.50356559 -8.57231791 -0.70454102 22.93117944  1.27490091
 -3.58781906 -0.68890522  4.76695356 -1.92644775 14.18509245  6.14099907
 -4.00058943  0.65083862]",[2.35412829]
41,41,"[-2.65421637  0.06188406 -8.62900056 -4.26299536 19.28259879  0.63964414
 -1.70098168 -2.35249574  2.67498947  6.64292448 11.21326045  3.51177848
 -4.23681748 -1.60394965]",[-1.51921048]
