,evals,X,fX
0,0,"[ 0.03115128  1.26491181 -5.65208468 -2.20617078  4.76759104  5.85276586
 -0.08299661  0.81921121  5.97333944 -9.91013902 21.41199796  3.28032557
 -0.21673516 -2.81926677]",[-0.03711833]
1,1,"[-0.25511347 -1.06847007  8.66289299  1.73165421 17.04928022  1.88728892
  0.83986092 -1.33309916 -5.9155614   5.27908823 15.12600218  1.63895671
  0.54096691  0.79111704]",[1.41673369]
2,2,"[-3.94750224  2.03852267  2.22677712 -3.90165755  5.77862665  4.75397069
  3.83785261 -1.27666222  8.57155089 -5.815038   22.81427244  1.67524734
  1.65219718 -4.11654818]",[-0.]
3,3,"[-3.57024841  3.18281776 -8.05633449 -6.56544885  7.74108826  5.27040978
 -3.21427644  0.75437284  3.25191788 -5.82186802 17.48324906  2.85710507
  3.74672185  1.10581664]",[0.24983042]
4,4,"[-0.04981272  2.91210902 -4.09010952 -7.74597276 15.54183996  5.49653941
  0.28224873  1.75098544  9.2255561  -5.82990139 13.52530048  1.73235525
 -1.125704    0.93243805]",[7.24123449]
5,5,"[ 0.80861396  4.90576802 -9.77687911 -3.59847871 12.7058705   3.6631348
  1.75949743 -0.42491482  3.44755585 -8.00868468 10.68405998  3.52650482
 -3.86355191 -1.39462625]",[-0.]
6,6,"[-1.27054446 -0.15237448 -2.04827774 -2.543509   14.8152559   6.10484087
 -1.47669189 -2.44667182  4.2188073  -7.70797928 13.88088144  5.78520568
  2.19632381 -4.8498987 ]",[-0.00765196]
7,7,"[ 3.65458407  3.25320765 -6.24475013 -7.51496456 10.38908824  3.39016995
  0.21317163 -1.00647603 -1.99615828 -4.83650705 26.77619398  4.80388564
 -0.83259979 -1.70398052]",[2.32843973]
8,8,"[ 3.70328579 -2.3812641  -6.48461348  4.8353336  15.18197666  4.90866024
  3.28976191  3.01503889  9.21305938 -4.17094235 17.88164803  1.92691053
  2.3218076  -4.25865051]",[-0.08689682]
9,9,"[-1.98175995  1.08398976 -6.88522417  4.29259774  8.6960744   5.70731038
 -3.19858502  4.04522015  6.41023358 -2.08391906 21.75439313  5.7371946
 -0.87193713  0.70004119]",[0.00331918]
10,10,"[-1.27457229  4.62283189 -4.6490398  -7.33646191  3.10941552  4.73123322
 -1.85641999 -2.29934639  3.89620023 -8.33524795 19.5365144   2.14121703
 -0.358028   -0.93888829]",[-0.]
11,11,"[-3.05059016 -1.69723651 -3.15282499 -4.48060827  2.77425874  4.24122819
  2.2547917   3.89356591  8.08263999 -3.07050362 16.19283447  5.16719422
  3.13700516 -0.80252068]",[-0.]
12,12,"[ 3.60333415  0.15174881 -1.45149825  7.73467532 13.84790752  5.17699725
  3.17817271  1.6690826   5.0678031  -4.48547465 20.0870437   3.52317079
  3.8887674  -3.81524587]",[-0.]
13,13,"[ 0.25911932 -4.22969516 -9.6284323   4.52169425 20.5679811   5.18286105
 -2.04400271 -0.02558384  4.70467182 -7.18093431 22.07719255  2.14503963
  4.46830839 -3.44935589]",[2.18481002]
14,14,"[ 3.40183967e+00 -2.85292150e+00 -8.72844429e+00  3.73758630e+00
  1.91407717e+01  4.31413679e+00 -2.06768513e-03  2.53879629e+00
  8.58782765e+00 -2.03420564e+00  1.49581961e+01  1.68433674e+00
 -5.60949958e-01 -2.62852703e+00]",[-0.50244755]
15,15,"[ 4.80730842  2.69294856 -3.86129869  7.62414222 10.81283784  3.77652335
  2.7999568   2.39710601  6.9139721  -9.8564112  17.03356492  0.06873877
  0.7999908  -1.70776997]",[-0.]
16,16,"[ 3.99735028 -0.35193546 -0.79160921 -1.86774519 22.56328465  5.81450571
  4.50809538  4.07733159  7.08071636 -2.25021224 20.94178552  0.89757515
  4.86033534 -3.72230749]",[-0.]
17,17,"[ 4.39206355 -3.14861883 -4.62354637  8.32174721 14.86117576  6.2829173
 -0.53185403  1.01759567  7.09845603  1.23652421 19.14096864  3.71722552
 -1.4023736  -2.95093881]",[-0.00455698]
18,18,"[ 0.74114226 -1.17509891 -5.5734197   8.74974691 21.69529257  4.39862187
  4.8202759   2.47019454  9.04717888 -6.27630174 23.74020721  2.38758391
  2.163126   -4.95382147]",[-0.40867108]
19,19,"[ 3.02868067  3.31872915 -4.65983362  1.51809091 15.22960896  5.91561614
 -4.95537578  2.76447543  8.78119761  0.84164791 17.22881071  0.41081244
  0.33619222 -1.2735987 ]",[-0.]
20,20,"[ 2.20237173  1.70180167  0.02162007  5.60743658  6.39622251  5.04413535
 -1.1080429   0.02724131  6.32066953 -3.55098152 16.76818768  1.47645966
  2.5532547  -3.77044424]",[0.19202784]
21,21,"[ 3.62141799  3.29040917 -3.40530285  1.86891672 18.75803944  3.39770927
  4.8534286  -0.14748722  7.37228416  3.48528007 18.472379    1.95972841
 -1.22613186 -3.23108135]",[-0.]
22,22,"[ 3.96373355 -2.73412332 -1.86238933  2.71718927 15.54662785  3.40581148
 -2.77149528  3.04045006  7.5374641   2.2412467   2.89479284  5.06582849
 -3.48207429 -2.16351818]",[-0.]
23,23,"[ 2.80679227  4.8097688   0.03747204  4.84105665 19.06925562  3.77315681
 -3.13343346  1.31414302  8.15145024 -2.76051462  3.6909345   4.25787414
  4.5772028  -1.08898309]",[-0.02509678]
24,24,"[ 1.79064991 -0.36126077  2.94875534  2.26111352 19.541065    5.53810058
  4.31890249  4.59643154  7.96386858 -7.34089702  7.83803461  1.77280017
  4.86593187 -4.5581799 ]",[-0.]
25,25,"[ 0.97386635 -1.67490482 -3.38950292  2.13928495 21.19848915  4.90030088
  4.3525064  -1.13069822  9.70514039 -8.75721902 21.66518298  3.04048062
  3.29511225 -3.32579788]",[-0.06061153]
26,26,"[ 1.9631997   1.30394101  3.87161477  5.21817427 15.50453701  4.49968547
  4.88984942 -2.11320895  7.90436569 -8.06477904 24.47280131  3.85323728
  1.3879174  -4.96719371]",[-0.]
27,27,"[ 2.75156721 -3.83429624 -0.94375859  1.71636918 18.97229439  1.37405412
  0.29332638  2.69549184  7.40888764 -9.04391147 27.06937699  1.06544918
 -3.04910049 -0.45068517]",[0.48967417]
28,28,"[ 3.46179704  4.19913769  0.99620896  5.38104223 21.70004461  4.71352074
  2.49197185  2.07361488  8.37287633  6.3869977  19.99320548  0.33969833
 -3.13712806 -1.96392402]",[-0.]
