,evals,X,fX
0,0,"[ 1.03621439  0.25733602 -5.59190156 -9.70123789 22.39566514  5.18093882
  1.39243641 -1.61872549 -4.09137183 -9.76018118 23.82395723  0.81446558
 -2.92449401 -3.58237459]",[-0.13265248]
1,1,"[-1.53431041 -2.79773141  1.56867738  5.44649018 12.9244067   0.96246942
 -3.89021058  1.93985629  9.3638365   9.75995422 11.41337146  5.97792966
  4.22875436  1.88997021]",[-0.07533483]
2,2,"[ 0.2112476  -0.72309827 -3.29406643 -4.84004046 19.356284    3.82722851
 -0.30293631 -0.47668802  0.22671973 -3.49580273 19.8413642   2.47151413
 -0.62896474 -1.82619442]",[-2.79028525]
3,3,"[ 0.2119396  -0.72197531 -3.29216922 -4.83955274 19.35666861  3.82706846
 -0.30355224 -0.47554119  0.22769723 -3.49626848 19.84161445  2.47189831
 -0.62931783 -1.82600065]",[-2.79058986]
4,4,"[ 0.21114148 -0.72287392 -3.29399025 -4.84013201 19.35625187  3.82713416
 -0.30266416 -0.47672265  0.22645945 -3.49580682 19.84122284  2.47158995
 -0.62870705 -1.82618488]",[-2.79046114]
5,5,"[ 0.21287971 -0.72386432 -3.29408125 -4.83828342 19.35519474  3.8265662
 -0.30177942 -0.47677919  0.22816897 -3.49465622 19.84167928  2.47279189
 -0.62599239 -1.82595671]",[-2.79779063]
6,6,"[ 0.21158826 -0.72333363 -3.2937327  -4.83982263 19.35565716  3.82712705
 -0.30280342 -0.47682866  0.22653188 -3.4947358  19.8411116   2.47139948
 -0.62914568 -1.82626903]",[-2.79051102]
7,7,"[ 0.21127627 -0.72310916 -3.29394434 -4.84001758 19.35614148  3.82714418
 -0.30287168 -0.47669772  0.22669471 -3.49577903 19.84115524  2.47152141
 -0.62887196 -1.82619219]",[-2.79062098]
8,8,"[ 0.21116654 -0.72313343 -3.29388015 -4.83996779 19.35623843  3.82721666
 -0.30287453 -0.47670988  0.22661101 -3.49562384 19.84114643  2.47146243
 -0.62879803 -1.82625723]",[-2.79017054]
9,9,"[ 0.21050638 -0.7222937  -3.29191197 -4.83834551 19.35657886  3.82716853
 -0.30411955 -0.47660388  0.22666392 -3.4941239  19.84029243  2.47210328
 -0.62899593 -1.82616724]",[-2.78444109]
10,10,"[ 0.21156392 -0.72398031 -3.29392141 -4.83944966 19.35448311  3.82703451
 -0.3025209  -0.47688215  0.2265064  -3.49424871 19.84065909  2.47234777
 -0.62806862 -1.82613286]",[-2.79177858]
11,11,"[ 0.21374447 -0.72398667 -3.2942908  -4.84038501 19.35568193  3.82603136
 -0.30116719 -0.4788018   0.22730814 -3.49356457 19.83972077  2.47150978
 -0.62628203 -1.82450835]",[-2.79775089]
12,12,"[ 5.         -4.71545617 -6.90672309 -4.4130477  15.81882524  1.08918716
  5.         -3.37449664  4.28005535 -0.10962657 18.93727344  3.73151871
  5.          1.20862373]",[0.]
