,evals,X,fX
0,0,[  7.77757341 -12.27411548   8.50575245 -13.23437736],[0.]
1,1,[ -9.71235294  12.45303591 -29.28054353  20.79413755],[0.]
2,2,[-14.54571427  14.62207235 -13.71771538   0.07920558],[0.]
3,3,[-18.75317849   2.99429252  -2.72336748  24.94760803],[0.]
4,4,[ 20.96919724   3.6068073   -7.6438507  -27.32635272],[0.]
5,5,[ 22.01117734  27.40793202  26.25948983 -24.9713998 ],[0.]
6,6,[-16.41375627  -5.12419349   2.76088989  28.95296593],[0.]
7,7,[-25.75980085   6.94366556 -16.6283084   12.3526513 ],[0.]
8,8,[ 14.29984198 -14.70700824 -21.20961214  13.06017918],[0.]
9,9,[  3.75171119 -23.29298094   3.23547002  25.57670643],[0.]
10,10,[ -3.54828119 -25.47463923   0.55537714   7.87824211],[0.]
11,11,[ 2.29088142 10.82401416  6.11698257  1.20130646],[0.]
12,12,[ 10.30235336  22.95215999   2.00000337 -26.27330885],[0.]
13,13,[-5.28133446 27.10580024 -5.05128305  8.96745561],[0.]
14,14,[ 13.24444621 -26.40504106 -29.9363793    5.91605192],[0.]
15,15,[ -1.81041897 -12.53762726 -14.08939871 -20.41124699],[0.]
16,16,[ -4.34998606  28.8058314   17.69697859 -20.81019077],[0.]
17,17,[18.98309254 17.59114663 -0.91889398  6.44926055],[0.]
18,18,[-27.31037298  13.93086975   4.20286712   2.49261262],[0.]
19,19,[-11.06131983  11.13555898  14.05463273 -17.00844715],[0.]
20,20,[ 8.24624518 29.94307748 -0.45318982 -1.80791066],[0.]
21,21,[ 21.41761087   2.23468714 -24.27552842  26.94036271],[0.]
22,22,[28.89865406 -7.58854356 -6.10808658  7.46244181],[0.]
23,23,[  2.38136908   0.78854334 -13.87201385  12.72298148],[0.]
24,24,[ 24.36048951   7.12811527 -18.57083526 -14.79475242],[0.]
25,25,[ 5.2435319  16.34798838  9.57906388 15.35610389],[0.]
26,26,[ 14.68565117  -8.2880882    9.93047243 -18.06501804],[0.]
