,evals,X,fX
0,0,[ 1.63842241  5.97333944 -1.37006764  3.86571283],[-56.24505592]
1,1,[-2.20617078 -8.02314925  0.08986098 -0.16599323],[-32.94162954]
2,2,[-8.67082259  9.49209414  9.1364591  -8.88569453],[-236.62615231]
3,3,[ 9.42824188 -3.40017056 -9.37842452 -9.2943691 ],[-271.90081703]
4,4,[ 9.93534339 -0.1982426   9.90291599 -7.45752679],[-300.08164257]
5,5,[-8.58261313  7.27458405 -9.8551671  -9.38275837],[-253.81430772]
6,6,[ 9.95935101 -9.38740196  4.22309838  9.86887112],[-315.75206793]
7,7,[-9.81374167  8.47874615  9.73530707  9.72867192],[-412.28201865]
8,8,[-8.98831565 -2.949267   -8.49023359  8.99287091],[-150.94343963]
9,9,[ 8.88703193 -3.13080177 -9.72910697  9.73288372],[-275.00191274]
10,10,[-4.84751011 -6.80661024  9.93863542  9.79822846],[-322.72376843]
11,11,[9.94518432 4.74954648 9.53138403 9.91327824],[-338.2173732]
12,12,[-8.37962665 -8.74481992  9.61521817 -9.04187013],[-227.37883583]
13,13,[ 2.80676758  7.11113568  0.28356474 -9.68398906],[-173.09209027]
14,14,[-8.72460804 -7.51253447 -9.57400273 -9.33591924],[-238.98965527]
15,15,[-8.9736381   9.51413671 -9.80787801  7.63203813],[-272.16579338]
16,16,[ 9.27861939  9.87705943 -9.14338208  7.87032005],[-308.09611471]
17,17,[-1.40147629  1.8047442   9.25761169  0.50800511],[-89.59079011]
18,18,[-9.84215928  0.78448463 -0.77243912 -0.84222658],[-147.45670297]
19,19,[ 5.70588064 -9.41230961  1.2969911  -9.45350821],[-236.54826745]
20,20,[ 3.34807251  9.38110878 -9.88736371 -3.26344141],[-222.64417737]
21,21,[-0.07438861 -1.75555675 -8.91129054 -1.14732647],[-66.13461666]
22,22,[-8.53387636 -9.03816698 -5.3263264  -9.9887523 ],[-262.43386104]
23,23,[-9.90776657 -5.11195627 -9.96146411 -8.59445452],[-299.39006592]
24,24,[-9.25013644 -6.55604224 -9.65706966 -8.36394948],[-245.32206209]
25,25,[-6.69136681 -9.69059007 -8.78570683 -9.84139953],[-392.92008667]
26,26,[-8.18330564  8.05311645 -8.54637608 -9.96004208],[-222.16839622]
27,27,[-6.32297301  8.9967267  -9.96658962 -9.6275142 ],[-365.9101886]
28,28,[-9.19113597 -9.32199534  9.93697356 -8.7820727 ],[-345.67901549]
29,29,[ 8.451336    9.8660415  -9.78581357 -9.24876144],[-351.38476324]
30,30,[-8.6831893  -8.62512697 -8.39679144  8.68427561],[-123.35470662]
31,31,[-8.38206876 -6.69215137 -9.65436565  9.93725421],[-273.83358038]
32,32,[-6.19890113 -9.72629073 -6.46058917  9.60582435],[-330.46873363]
33,33,[-9.84377128 -6.64682778  9.64877608  9.65461159],[-426.40352879]
34,34,[ 8.55679797  9.21486311 -8.86102183 -7.2842764 ],[-221.90186751]
35,35,[ 9.93547017  9.61525277 -9.27192086 -8.62013775],[-333.50341849]
36,36,[-8.90913971  8.81723047 -9.89844592 -9.97616094],[-354.03182634]
37,37,[ 8.54420753 -8.97536797 -9.98838818  7.69297115],[-204.32938615]
38,38,[ 9.52032451 -9.51941408 -9.07081022  9.11072901],[-350.10433082]
39,39,[ 7.80085471 -9.94277035 -9.87667481 -6.59801718],[-329.05712038]
40,40,[-9.97784462 -9.91246561 -9.38160522 -8.88480869],[-425.86651717]
41,41,[9.58481288 9.35665939 8.64273583 7.43439887],[-227.73946425]
42,42,[7.74953036 9.51720326 7.24223183 7.72843875],[-178.04199158]
43,43,[5.73030324 9.06799519 8.83806011 9.62612166],[-237.05052365]
44,44,[9.93336416 8.7887593  7.49311755 7.82572914],[-198.78073551]
45,45,[5.40959091 9.97925275 9.13576649 8.3376787 ],[-258.07488259]
46,46,[8.01996035 9.54848514 9.10113308 9.56577097],[-285.89148748]
