,evals,X,fX
0,0,"[ 4.97751116 -3.46513524 -0.35546775  4.74741005  4.50120456 -0.34149625
  6.46856571 -3.99065041  6.35183591 -3.61670101]",[49.70096653]
1,1,"[ 0.89001361  8.90481469  6.20677628  1.34921114 -4.40265892  6.28934568
 -4.51035122  5.71091746 -4.27601813  3.45369979]",[83.37949865]
2,2,"[ 9.70431998  7.44432757  0.63286795 -3.07257334  2.70187732  8.42944319
 -1.03042296  3.72107607  3.46494057  5.02874261]",[-29.13690355]
3,3,"[ 5.27761799  2.45446956  0.7704274   9.81862393  9.77070277  9.24770205
  5.22143191  5.00999236 -0.68366541  8.91202165]",[-171.32571719]
4,4,"[ 1.32232157  7.86896801  4.53486475 -1.2067874  -4.39226305  3.53587701
 -1.16481342  0.02211326 -0.85381495 -1.18880228]",[-13.59610674]
5,5,"[ 6.07944764  1.07183616 -4.44844859  8.97728242  4.47070619  6.14520629
  2.24031208  9.42676921 -3.39602318  7.39176084]",[-110.58327181]
6,6,"[ 8.53192712 -1.94625824  2.03784088 -1.60180257  8.39950374  4.96606302
  8.49564073  1.41531722  1.73645242 -3.81135657]",[-47.94221356]
7,7,"[ 0.10791358  1.49026518  1.15414082  5.41285134 -2.03891505  2.85101982
  9.91104985  9.69795577 -0.44174162 -2.63891181]",[-127.25216675]
8,8,"[ 1.00400834  0.92152444  2.01732907  2.95805319  5.85065971  9.59761711
  0.17723536  2.66029205 -0.90721918 -0.8033437 ]",[-70.26080664]
9,9,"[ 2.07954755  5.37645251  9.13063143  2.23945875 -3.78269865  7.84056399
  7.90392209  8.03601406  2.08112062  3.8072574 ]",[-67.52173025]
10,10,"[-2.51554491  6.30703058 -3.37607873  6.04090786  0.89100583  4.71494375
  5.48559562 -4.53952946 -3.78565177 -3.31155713]",[-64.91338222]
11,11,"[ 3.46240249 -4.89782012  1.13967112  1.09526887  8.13573062  7.67974618
  3.37033716  4.65440419  9.03312255  1.87105282]",[-55.85015634]
12,12,"[ 7.12993111e-03  5.38716343e-01  4.23565100e+00  9.40828409e+00
  1.94608150e+00  9.39120357e+00  7.76984632e+00  6.32280445e+00
 -3.54156324e+00  2.80200563e+00]",[-118.20920938]
13,13,"[-2.77038858 -4.37172417  7.23095955 -3.33097463  0.27556031  7.35271707
  8.94889427 -3.59594553 -4.20801825  1.11786252]",[-55.99958941]
14,14,"[ 8.52270481  8.51796492  0.11541314 -4.09319267  6.36309422  1.58822137
 -1.95891619 -0.15239399  9.18162269  5.39348924]",[-79.7600933]
15,15,"[ 6.77858268 -4.75848104  9.22828001  6.75381285 -2.95324729  3.9417075
 -3.79407259  5.48719893  6.76753149  9.56077715]",[-103.07095619]
16,16,"[ 3.83790816  6.27338663  4.50147841 -4.17221891  7.02465707 -0.10204188
  2.91555387  7.09628624 -4.0986283   5.85297674]",[-43.76837631]
17,17,"[ 0.45583407  6.91099752  5.34446813  3.81123453 -0.35119823  6.15651132
  6.048765    2.81722902  2.07195098  5.45870423]",[-59.33560527]
18,18,"[ 2.40498958 -0.98315646  2.09850467 -4.21089461 -3.55318495  1.06735495
  8.68853695  6.60742425 -2.9288889   8.63814127]",[-56.91144719]
19,19,"[-3.69308524 -3.73783492  6.41662405  0.36516598  8.40033165  4.61099235
  0.63003893 -0.81736656 -1.82191812  6.42123252]",[-44.14205182]
