,evals,X,fX
0,0,"[-4.30746054 -3.60304841  5.09170545  5.47575606 -0.95887449 -1.85604114
  0.13914625 -3.46660813  1.58588077  2.70540695]",[39.91853995]
1,1,"[ 7.52850633  5.62978602 -0.80982629 -3.94709796  3.98576117  8.50558427
  9.76196182  4.85068134  7.69241962  1.57291864]",[96.5244712]
2,2,"[ 3.23760125 -1.84169281  9.68417148  6.49873964  0.18907835 -2.63363277
  0.14875696  8.75969254 -4.86283792  8.12608236]",[117.2375811]
3,3,"[ 2.41645817  8.11124241 -2.89667006  0.91959496  3.27419505  5.85920145
  9.31446627 -2.79789389  4.65831504 -4.02478571]",[91.23898903]
4,4,"[-4.59978091 -0.69411796 -3.89953569  6.91979153  7.7481877   3.26750822
  5.60541991  7.70800118 -1.89365548 -4.62534906]",[42.64879759]
5,5,"[ 6.51922304  7.47845984  6.36166834  2.08446067 -0.6008372   1.77551436
 -3.96893972 -3.9554274   8.55543467  5.48257628]",[44.94788221]
6,6,"[ 1.62479568 -0.32245845  8.13206826 -2.38326244  4.52445919  9.21914664
  5.71068392  9.73630035 -0.02418877  7.1627179 ]",[128.30750809]
7,7,"[ 3.3605948   9.62116944 -1.625659    6.83792211 -1.93897398 -3.22229765
  1.7753464  -0.69740385  2.52152745 -0.37141315]",[81.13710263]
8,8,"[ 7.17520087  2.61865932  9.47077925  7.68172688  2.47992138 -3.70744619
 -3.97148188  9.49446597  0.22613621 -4.5049987 ]",[110.9318244]
9,9,"[ 0.66597289  0.65407141  1.92268402  0.33643569  3.43203221  2.649101
  2.6965824  -4.78770134  4.34658301  8.95020962]",[15.11205349]
10,10,"[-0.60680546  2.27196811  6.70772664  2.63985467  1.00474505 -3.25269295
  8.55328897  5.40895483  8.97656391  0.60341232]",[83.14911655]
11,11,"[ 6.67180175  3.52341419 -4.55061733 -4.08992408  2.83413909  3.30620597
 -3.30717996  0.34741735 -0.80212263  2.59416985]",[15.46001033]
12,12,"[ 8.07869391 -3.53427889  6.86019195  9.77514992  8.85121601 -3.20114181
  6.20327286 -0.35033211  8.71735675 -3.82406454]",[144.531829]
13,13,"[-4.86067848  3.02516608 -1.35241167 -0.45252904 -0.73361422  4.88021807
  2.41462116  6.84808914 -2.14894121  6.63211164]",[32.76451374]
14,14,"[ 7.2228813   4.07630507  8.14566665 -4.50097639 -3.04763676  1.03565923
 -3.54924288  7.29595661  6.43502732  9.43605978]",[50.56990746]
15,15,"[-3.02527422 -4.50529182  0.51299472  8.29133522  9.30861889  9.48979052
  2.6046368  -3.24228435 -0.37416232  2.11762241]",[111.42225666]
16,16,"[ 6.14493     7.03232862 -0.87839059  1.9463607   1.89050077 -2.0384329
  9.72446896 -3.6953325   3.4474714  -3.98690631]",[76.99563061]
17,17,"[-1.20753376 -4.83856396  9.60977658  8.70336603  2.61264236  3.82147192
 -2.50952319  3.48247634  1.07118019  5.0855249 ]",[90.62130025]
