,evals,X,fX
0,0,"[ 7.34420585 -1.71809592  1.68829751  9.7274707  -2.12418861  0.93793779
 -1.0332881  -0.73966579  1.94197479 -4.46722956]",[69.50406841]
1,1,"[-4.34653025  2.65163798  8.74464884  0.83617563  9.02509111  9.83963757
  8.49368923  5.96109522  8.35396882  3.38705819]",[154.08535679]
2,2,"[ 8.84236324 -1.23582947 -0.23024561  6.13174788 -2.76444402 -2.50497689
  0.1264697   0.94112754  3.64730358  1.31403913]",[35.62936081]
3,3,"[ 6.66819183 -1.10642841  6.98424325  9.351909    3.81805804  0.37401713
  3.11041694  3.0792359  -0.25801259 -4.08916542]",[61.2503729]
4,4,"[ 1.87347903 -2.63382128  2.90537382  7.25007746 -0.16108187 -1.52745623
 -0.92511686  1.81417157 -1.66764895 -4.87309363]",[26.29304543]
5,5,"[ 8.2968288   2.71623583 -2.4327869   7.84349071  1.80809559  5.19363284
 -0.1454862   0.1704368   5.40322409 -3.27672084]",[37.36790126]
6,6,"[ 1.79103269  2.43082215  4.77136096  9.84341725 -0.38341997  4.56187616
  2.68608703 -0.54815597 -1.17116306 -3.1864703 ]",[68.32701921]
7,7,"[ 5.17195645  2.91397798  5.61821546  9.46103382 -0.66223561 -2.19880647
  0.964882    4.12100268 -2.35255772 -1.35528055]",[79.5835941]
8,8,"[ 5.99033318 -4.59507158  7.13859777  8.52095967  2.59240095  2.36994333
  2.34990136  0.02492783  4.40167027 -2.61068854]",[33.18277724]
9,9,"[ 5.80130965 -3.39799448 -2.53119458  6.78200171  1.74909269 -0.60615194
  0.32965841 -4.37442981  2.04909629 -1.88343126]",[30.70723003]
10,10,"[ 9.32868066 -0.63330115  2.54771334  8.22795548 -1.77140631  5.41432081
  3.41674872 -2.64600472  4.22510425 -4.63284   ]",[39.9802435]
11,11,"[ 5.56257549 -2.92137108  6.44445913  6.75060055 -0.97029691  5.42725901
 -0.11579806  3.93125129  6.99085484 -2.66973551]",[60.03744357]
12,12,"[ 6.66269094 -2.1637847  -1.56944551  7.09139935 -3.47255196  1.40685109
  1.08721875 -2.31504217  4.28474959  2.3183798 ]",[34.11494661]
13,13,"[ 9.78854179 -4.96907601 -2.67513745  6.63511207 -1.84753582 -4.21141426
  1.21353637  0.77555597 -3.46626191 -4.56189635]",[45.52813937]
14,14,"[ 5.07865965  1.6125085  -1.74984843  7.48679334 -3.72534065 -2.5949351
  5.66548066  9.37290847  2.00363147  2.90669043]",[81.18930241]
15,15,"[-4.55392595  1.57810317  1.93426311  6.84453656  4.72937645  0.99184866
  6.58069191 -4.68994016 -3.94343523 -0.18173997]",[38.47837161]
16,16,"[ 4.16223288  2.02031209  1.69499576  6.83246105 -1.92144831  0.88292658
  2.07645421 -1.49318583  2.16022694  2.60996426]",[22.64362603]
17,17,"[ 9.39028651 -3.15978499 -1.66361585  7.75290604  6.72824374 -0.93607117
  4.25060427  7.46410459  4.87788365 -2.78294896]",[40.59455164]
