,evals,X,fX
0,0,[-3.78866167 -4.70857906 -8.65420055  4.94236837],[-55.22171891]
1,1,[ 1.84439866  7.85335148  8.53975293 -4.86421879],[-62.035649]
2,2,[-6.80039736 -7.33063719  9.58454684  8.95469904],[-270.51428835]
3,3,[ 9.02224802  3.39176747 -8.3190836  -9.40032169],[-219.07426877]
4,4,[-6.63776283 -9.78806177  2.03404783 -9.31809538],[-254.88319869]
5,5,[-9.79119143  9.99573117 -0.05147611  8.14650256],[-206.85244955]
6,6,[ 9.91023047  7.8660143  -5.22215469  8.37883508],[-204.46578901]
7,7,[-9.39200493  5.42866625 -8.6610137  -9.16386923],[-231.37203093]
8,8,[ 9.73060491 -8.47457232  9.62537356  0.21511009],[-229.13324934]
9,9,[2.44302994 5.08682947 8.60079214 9.71042674],[-223.96818984]
10,10,[ 9.49352593 -8.57104525 -4.41324481  9.25265378],[-245.94355934]
11,11,[ 5.53081166 -9.19702448 -5.04202831 -5.21144604],[-131.4000135]
12,12,[-9.65943057  1.84898863  9.59267508 -7.66922243],[-263.88238631]
13,13,[ 9.93856822 -1.763839    4.58414366 -9.97969911],[-390.61279147]
14,14,[-1.45047892  9.48691023 -9.90110322  3.43357016],[-205.43079083]
15,15,[-9.0797855  -9.60857328 -9.79564368 -5.73109429],[-345.92326091]
16,16,[-5.80474744 -0.19117008  1.12492361  0.71792689],[-44.67279049]
17,17,[-9.9443659   7.94909299 -5.47564688  9.80215451],[-348.24089035]
18,18,[9.14987275 9.16540589 9.2240373  9.02743028],[-296.14039235]
19,19,[-7.44707029  9.89657946 -9.58933399  8.8199205 ],[-280.13458234]
20,20,[ 9.89021232  9.91454576 -8.18593739 -7.6106303 ],[-246.58120529]
21,21,[-9.0688479  -9.80592192 -7.58898798  9.87595127],[-342.09759782]
22,22,[ 6.57157933  9.97389323  9.47046353 -8.17635684],[-223.03268656]
23,23,[ 6.04868863  9.02567005  8.52331778 -9.32359226],[-247.93816006]
24,24,[ 7.71966916  9.55017045  5.08170547 -9.66908522],[-282.13816398]
25,25,[-9.71793464  9.63494725  9.84238308 -9.60318136],[-462.79240381]
26,26,[ 9.56086533 -8.16859362 -7.82596705  8.74367297],[-210.14499974]
27,27,[ 9.69047786 -4.82504347 -9.76544561  8.2574959 ],[-296.55997862]
28,28,[ 6.83841752 -7.6036304  -9.7477565   9.09050583],[-311.30091361]
29,29,[ 8.18707167 -9.49256417 -7.86329727  7.72520433],[-103.14949175]
30,30,[ 9.53035466 -7.30358563 -6.84544374  8.89157309],[-291.23143478]
