,evals,X,fX
0,0,"[ 1.08044748  4.88137227 -4.96884872 -3.73508819 -2.82604234  3.89691461
 -4.01157463  4.31496618  4.91700339 -4.18078879]",[12.04416312]
1,1,"[-2.01333028 -4.95506951  1.93285641  0.22080029  4.78326484 -2.81926677
  4.74488653 -1.06847007 -0.66855351  0.86582711]",[10.06557196]
2,2,"[-2.36045588  4.68785792  2.60848061 -4.45903309  0.79111704 -2.27398674
  2.6220204  -1.81194878 -2.99252278  3.24902555]",[10.91190283]
3,3,"[ 1.98450001 -1.88041943 -1.16297516  0.89486955 -3.12212116  2.5126653
 -1.5666646   1.26839824  2.77370431 -1.87534578]",[8.08063933]
4,4,"[-4.08777298 -0.4080848   2.15911036 -0.84905949 -2.91611848  4.52333794
 -2.97587391  1.65587252 -2.13930615  4.22721825]",[10.3157033]
5,5,"[ 4.30507156  2.97844059 -4.57669194  2.98633304  1.22726854 -1.33703276
  4.47325646 -2.42633015  3.01781755 -4.67466094]",[11.73122516]
6,6,"[-4.75732932 -4.45090941 -1.57988392  2.57326849  2.85820686  4.21853497
 -2.5613118  -0.94927789  2.55121815 -0.36639653]",[11.09289397]
7,7,"[ 3.33463886  0.7436342   1.82276588 -0.67112542 -3.24857395 -4.0548712
  2.36310655  1.96390587 -1.90535037  2.18383146]",[9.26650972]
8,8,"[ 3.1178442  -4.58407939 -1.33500641  3.39342701  4.13011434 -3.26274332
 -4.70559953  3.05910908 -4.37992691  3.79764765]",[12.23198633]
9,9,"[-1.02788341  2.04313393  4.71898753 -4.13110103 -0.28707075  2.32744837
  3.81496821 -1.23589902  4.9060496  -0.13361003]",[10.30001361]
10,10,"[ 2.67451301 -1.66720802  2.20670352  1.36235729  4.7483447   3.6413472
  0.03161969  0.49663882  3.15846123 -3.55981587]",[10.38001826]
11,11,"[-2.96189161  3.90765562 -3.22927231 -0.37095701 -1.39773939 -2.2403678
 -4.09517582 -2.95204305 -1.18559105  4.95398409]",[10.41146484]
12,12,"[ 4.14708975 -1.06633843 -1.55889363 -3.30036792 -2.77729668  1.8316807
  4.20233032  1.64161068 -3.38712512 -0.32354571]",[10.1971525]
